form,ideophone,item,concept,meaning,status,foil,order
hiyaQkoi,n,trial,COOL,COOL|FRESH,iconic,natunea|dzatyuzea|zyatsurea,41
suu,n,trial,SUCK,SUCK,iconic,ki|mi|gi,42
fuku,n,trial,BLOW,BLOW|PUFF,iconic,rini|gizi|niri,43
saku,n,trial,TEAR,TEAR|RIP,iconic,kuni|muzi|guri,44
osoi,n,trial,SLOW,SLOW,iconic,ekea|emea|egea,45
kiiN,y,trial,RINGING,RINGING (e.g. a ringing sound in your ears),iconic,naQ|zaQ|raQ,46
izyiizyi,y,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,iconic,ama|awa|aha,47
mabusyii,n,trial,GLARING (OVERLY BRIGHT),GLARING (light)|BLINDING (light)|DAZZLING,iconic,tyutyira|suhina|syusyima,48
yakamasyii,n,trial,NOISY,LOUD|NOISY,iconic,tunutyura|tyuzusuna|tsurusyuma,49
deQkai,n,trial,BIG,BIG|MASSIVE|LARGE|HUGE,iconic,wonua|yozua|horua,50
saQpari,y,trial,CLEAN,CLEAN|TIDY,iconic,kusyuha|muwukya|guyuka,51
syobosyobo,y,trial,WATERY (EYES),WATERY (EYES)|BLEARY (EYES),iconic,retye|nehe|mesye,52
kaku,n,trial,SCRATCH,SCRATCH,prosaic,nuni|zuzi|ruri,53
kanasyii,n,trial,SAD,SAD|GLUM,prosaic,nusyura|zukuna|ruhuma,54
modokasyii,n,trial,ANNOYED/IMPATIENT,ANNOYED|IMPATIENT,prosaic,tyewenura|seyezuna|syeheruma,55
tsurai,n,trial,SAD,SAD|GLUM,prosaic,hihua|wikyua|yikua,56
akaanakaQta,n,trial,DARK,DARK|DIM,prosaic,unusyunuhu|uzukuzuwu|uruhuruyu,57
geNki,n,trial,LIVELY (ENERGETIC),LIVELY|ENERGETIC,prosaic,roQna|soQza|tyoQra,58
deQkai,n,trial,COARSE,ROUGH|GRITTY|COARSE,prosaic,wonua|yozua|horua,59
kara,n,trial,EMPTY,EMPTY,prosaic,nuhu|zukyu|ruku,60
hasyikai,n,trial,ITCHING,ITCHING|PRICKLING,prosaic,nuranua|dzunazua|zyumarua,61
yawakoi,n,trial,SOFT,SOFT|SQUISHY,iconic,tuzyunea|tyutyuzea|tsutsurea,67
nigai,n,trial,ACRID (TASTE),ACRID (taste)|BITTER (taste),iconic,syarua|kasua|hatyua,68
semai,n,trial,CRAMPED,CRAMPED|TIGHT,iconic,kotyua|mosua|gosyua,69
